Period,House,Grid
May-1_Hour0,-658.9,0.0
May-1_Hour1,-658.9,0.0
May-1_Hour2,-658.9,0.0
May-1_Hour3,-658.9,0.0
May-1_Hour4,-658.9,0.0
May-1_Hour5,-658.9,0.0
May-1_Hour6,-658.9,0.0
May-1_Hour7,-2398.39,0.0
May-1_Hour8,-2398.39,0.0
May-1_Hour9,-658.9,0.0
May-1_Hour10,0.0,0.0
May-1_Hour11,0.0,0.0
May-1_Hour12,0.0,0.0
May-1_Hour13,0.0,0.0
May-1_Hour14,0.0,0.0
May-1_Hour15,0.0,0.0
May-1_Hour16,0.0,0.0
May-1_Hour17,0.0,0.0
May-1_Hour18,0.0,0.0
May-1_Hour19,0.0,0.0
May-1_Hour20,0.0,0.0
May-1_Hour21,0.0,0.0
May-1_Hour22,0.0,0.0
May-1_Hour23,0.0,0.0
May-2_Hour0,0.0,0.0
May-2_Hour1,0.0,0.0
May-2_Hour2,0.0,0.0
May-2_Hour3,0.0,0.0
May-2_Hour4,0.0,0.0
May-2_Hour5,0.0,0.0
May-2_Hour6,0.0,0.0
May-2_Hour7,0.0,0.0
May-2_Hour8,0.0,0.0
May-2_Hour9,0.0,0.0
May-2_Hour10,0.0,0.0
May-2_Hour11,0.0,0.0
May-2_Hour12,0.0,0.0
May-2_Hour13,0.0,0.0
May-2_Hour14,0.0,0.0
May-2_Hour15,0.0,0.0
May-2_Hour16,0.0,0.0
May-2_Hour17,0.0,0.0
May-2_Hour18,0.0,0.0
May-2_Hour19,0.0,0.0
May-2_Hour20,0.0,0.0
May-2_Hour21,0.0,0.0
May-2_Hour22,0.0,0.0
May-2_Hour23,0.0,0.0
May-3_Hour0,0.0,0.0
May-3_Hour1,0.0,0.0
May-3_Hour2,0.0,0.0
May-3_Hour3,0.0,0.0
May-3_Hour4,0.0,0.0
May-3_Hour5,0.0,0.0
May-3_Hour6,0.0,0.0
May-3_Hour7,0.0,0.0
May-3_Hour8,0.0,0.0
May-3_Hour9,0.0,0.0
May-3_Hour10,0.0,0.0
May-3_Hour11,0.0,0.0
May-3_Hour12,0.0,0.0
May-3_Hour13,0.0,0.0
May-3_Hour14,0.0,0.0
May-3_Hour15,0.0,0.0
May-3_Hour16,0.0,0.0
May-3_Hour17,0.0,0.0
May-3_Hour18,0.0,0.0
May-3_Hour19,0.0,0.0
May-3_Hour20,0.0,0.0
May-3_Hour21,0.0,0.0
May-3_Hour22,0.0,0.0
May-3_Hour23,0.0,0.0
May-4_Hour0,0.0,0.0
May-4_Hour1,0.0,0.0
May-4_Hour2,0.0,0.0
May-4_Hour3,0.0,0.0
May-4_Hour4,0.0,0.0
May-4_Hour5,0.0,0.0
May-4_Hour6,0.0,0.0
May-4_Hour7,0.0,0.0
May-4_Hour8,0.0,0.0
May-4_Hour9,0.0,0.0
May-4_Hour10,0.0,0.0
May-4_Hour11,0.0,0.0
May-4_Hour12,0.0,0.0
May-4_Hour13,0.0,0.0
May-4_Hour14,0.0,0.0
May-4_Hour15,0.0,0.0
May-4_Hour16,0.0,0.0
May-4_Hour17,0.0,0.0
May-4_Hour18,0.0,0.0
May-4_Hour19,0.0,0.0
May-4_Hour20,0.0,0.0
May-4_Hour21,0.0,0.0
May-4_Hour22,0.0,0.0
May-4_Hour23,0.0,0.0
May-5_Hour0,0.0,0.0
May-5_Hour1,0.0,0.0
May-5_Hour2,0.0,0.0
May-5_Hour3,0.0,0.0
May-5_Hour4,0.0,0.0
May-5_Hour5,0.0,0.0
May-5_Hour6,0.0,0.0
May-5_Hour7,0.0,0.0
May-5_Hour8,0.0,0.0
May-5_Hour9,0.0,0.0
May-5_Hour10,0.0,0.0
May-5_Hour11,0.0,0.0
May-5_Hour12,0.0,0.0
May-5_Hour13,0.0,0.0
May-5_Hour14,0.0,0.0
May-5_Hour15,0.0,0.0
May-5_Hour16,0.0,0.0
May-5_Hour17,0.0,0.0
May-5_Hour18,0.0,0.0
May-5_Hour19,0.0,0.0
May-5_Hour20,0.0,0.0
May-5_Hour21,0.0,0.0
May-5_Hour22,0.0,0.0
May-5_Hour23,0.0,0.0
May-6_Hour0,0.0,0.0
May-6_Hour1,0.0,0.0
May-6_Hour2,0.0,0.0
May-6_Hour3,0.0,0.0
May-6_Hour4,0.0,0.0
May-6_Hour5,0.0,0.0
May-6_Hour6,0.0,0.0
May-6_Hour7,0.0,0.0
May-6_Hour8,0.0,0.0
May-6_Hour9,0.0,0.0
May-6_Hour10,0.0,0.0
May-6_Hour11,0.0,0.0
May-6_Hour12,0.0,0.0
May-6_Hour13,0.0,0.0
May-6_Hour14,0.0,0.0
May-6_Hour15,0.0,0.0
May-6_Hour16,0.0,0.0
May-6_Hour17,0.0,0.0
May-6_Hour18,0.0,0.0
May-6_Hour19,0.0,0.0
May-6_Hour20,0.0,0.0
May-6_Hour21,0.0,0.0
May-6_Hour22,0.0,0.0
May-6_Hour23,0.0,0.0
May-7_Hour0,0.0,0.0
May-7_Hour1,0.0,0.0
May-7_Hour2,0.0,0.0
May-7_Hour3,0.0,0.0
May-7_Hour4,0.0,0.0
May-7_Hour5,0.0,0.0
May-7_Hour6,0.0,0.0
May-7_Hour7,0.0,0.0
May-7_Hour8,0.0,0.0
May-7_Hour9,0.0,0.0
May-7_Hour10,0.0,0.0
May-7_Hour11,0.0,0.0
May-7_Hour12,0.0,0.0
May-7_Hour13,0.0,0.0
May-7_Hour14,0.0,0.0
May-7_Hour15,0.0,0.0
May-7_Hour16,0.0,0.0
May-7_Hour17,0.0,0.0
May-7_Hour18,0.0,0.0
May-7_Hour19,0.0,0.0
May-7_Hour20,0.0,0.0
May-7_Hour21,0.0,0.0
May-7_Hour22,0.0,0.0
May-7_Hour23,0.0,0.0
May-8_Hour0,0.0,0.0
May-8_Hour1,0.0,0.0
May-8_Hour2,0.0,0.0
May-8_Hour3,0.0,0.0
May-8_Hour4,0.0,0.0
May-8_Hour5,0.0,0.0
May-8_Hour6,0.0,0.0
May-8_Hour7,0.0,0.0
May-8_Hour8,0.0,0.0
May-8_Hour9,0.0,0.0
May-8_Hour10,0.0,0.0
May-8_Hour11,0.0,0.0
May-8_Hour12,0.0,0.0
May-8_Hour13,0.0,0.0
May-8_Hour14,0.0,0.0
May-8_Hour15,0.0,0.0
May-8_Hour16,0.0,0.0
May-8_Hour17,0.0,0.0
May-8_Hour18,0.0,0.0
May-8_Hour19,0.0,0.0
May-8_Hour20,0.0,0.0
May-8_Hour21,0.0,0.0
May-8_Hour22,0.0,0.0
May-8_Hour23,0.0,0.0
May-9_Hour0,0.0,0.0
May-9_Hour1,0.0,0.0
May-9_Hour2,0.0,0.0
May-9_Hour3,0.0,0.0
May-9_Hour4,0.0,0.0
May-9_Hour5,0.0,0.0
May-9_Hour6,0.0,0.0
May-9_Hour7,0.0,0.0
May-9_Hour8,0.0,0.0
May-9_Hour9,0.0,0.0
May-9_Hour10,0.0,0.0
May-9_Hour11,0.0,0.0
May-9_Hour12,0.0,517.5399999974925
May-9_Hour13,0.0,13172.2
May-9_Hour14,0.0,14490.0
May-9_Hour15,0.0,13831.1
May-9_Hour16,0.0,13172.2
May-9_Hour17,0.0,13831.1
May-9_Hour18,0.0,7245.0
May-9_Hour19,0.0,0.0
May-9_Hour20,0.0,0.0
May-9_Hour21,0.0,0.0
May-9_Hour22,0.0,0.0
May-9_Hour23,0.0,0.0
May-10_Hour0,0.0,0.0
May-10_Hour1,0.0,0.0
May-10_Hour2,0.0,0.0
May-10_Hour3,0.0,0.0
May-10_Hour4,0.0,0.0
May-10_Hour5,0.0,0.0
May-10_Hour6,0.0,0.0
May-10_Hour7,0.0,0.0
May-10_Hour8,0.0,0.0
May-10_Hour9,0.0,0.0
May-10_Hour10,0.0,0.0
May-10_Hour11,0.0,0.0
May-10_Hour12,0.0,11002.329999999994
May-10_Hour13,0.0,13831.1
May-10_Hour14,0.0,13172.2
May-10_Hour15,0.0,13831.1
May-10_Hour16,0.0,14490.0
May-10_Hour17,0.0,13831.1
May-10_Hour18,0.0,3891.2
May-10_Hour19,0.0,0.0
May-10_Hour20,0.0,0.0
May-10_Hour21,0.0,0.0
May-10_Hour22,0.0,0.0
May-10_Hour23,0.0,0.0
May-11_Hour0,0.0,0.0
May-11_Hour1,0.0,0.0
May-11_Hour2,0.0,0.0
May-11_Hour3,0.0,0.0
May-11_Hour4,0.0,0.0
May-11_Hour5,0.0,0.0
May-11_Hour6,0.0,0.0
May-11_Hour7,0.0,0.0
May-11_Hour8,0.0,0.0
May-11_Hour9,0.0,0.0
May-11_Hour10,0.0,0.0
May-11_Hour11,0.0,0.0
May-11_Hour12,0.0,13038.330000000002
May-11_Hour13,0.0,14490.0
May-11_Hour14,0.0,13831.1
May-11_Hour15,0.0,13831.1
May-11_Hour16,0.0,13172.2
May-11_Hour17,0.0,13831.1
May-11_Hour18,0.0,4550.1
May-11_Hour19,0.0,0.0
May-11_Hour20,0.0,0.0
May-11_Hour21,0.0,0.0
May-11_Hour22,0.0,0.0
May-11_Hour23,0.0,0.0
May-12_Hour0,0.0,0.0
May-12_Hour1,0.0,0.0
May-12_Hour2,0.0,0.0
May-12_Hour3,0.0,0.0
May-12_Hour4,0.0,0.0
May-12_Hour5,0.0,0.0
May-12_Hour6,0.0,0.0
May-12_Hour7,0.0,0.0
May-12_Hour8,0.0,0.0
May-12_Hour9,0.0,0.0
May-12_Hour10,0.0,0.0
May-12_Hour11,0.0,0.0
May-12_Hour12,0.0,13697.230000000001
May-12_Hour13,0.0,13172.2
May-12_Hour14,0.0,14490.0
May-12_Hour15,0.0,13172.2
May-12_Hour16,0.0,14490.0
May-12_Hour17,0.0,13831.1
May-12_Hour18,0.0,3891.2
May-12_Hour19,0.0,0.0
May-12_Hour20,0.0,0.0
May-12_Hour21,0.0,0.0
May-12_Hour22,0.0,0.0
May-12_Hour23,0.0,0.0
May-13_Hour0,0.0,0.0
May-13_Hour1,0.0,0.0
May-13_Hour2,0.0,0.0
May-13_Hour3,0.0,0.0
May-13_Hour4,0.0,0.0
May-13_Hour5,0.0,0.0
May-13_Hour6,0.0,0.0
May-13_Hour7,0.0,0.0
May-13_Hour8,0.0,0.0
May-13_Hour9,0.0,0.0
May-13_Hour10,0.0,0.0
May-13_Hour11,0.0,0.0
May-13_Hour12,0.0,13697.230000000003
May-13_Hour13,0.0,13831.1
May-13_Hour14,0.0,13831.1
May-13_Hour15,0.0,13831.1
May-13_Hour16,0.0,13831.1
May-13_Hour17,0.0,13831.1
May-13_Hour18,0.0,6586.1
May-13_Hour19,0.0,0.0
May-13_Hour20,0.0,0.0
May-13_Hour21,0.0,0.0
May-13_Hour22,0.0,0.0
May-13_Hour23,0.0,0.0
May-14_Hour0,0.0,0.0
May-14_Hour1,0.0,0.0
May-14_Hour2,0.0,0.0
May-14_Hour3,0.0,0.0
May-14_Hour4,0.0,0.0
May-14_Hour5,0.0,0.0
May-14_Hour6,0.0,0.0
May-14_Hour7,0.0,0.0
May-14_Hour8,0.0,0.0
May-14_Hour9,0.0,0.0
May-14_Hour10,0.0,0.0
May-14_Hour11,0.0,0.0
May-14_Hour12,0.0,10343.429999999997
May-14_Hour13,0.0,13831.1
May-14_Hour14,0.0,13831.1
May-14_Hour15,0.0,13831.1
May-14_Hour16,0.0,13831.1
May-14_Hour17,0.0,14490.0
May-14_Hour18,0.0,6586.1
May-14_Hour19,0.0,0.0
May-14_Hour20,0.0,0.0
May-14_Hour21,0.0,0.0
May-14_Hour22,0.0,0.0
May-14_Hour23,0.0,0.0
May-15_Hour0,0.0,0.0
May-15_Hour1,0.0,0.0
May-15_Hour2,0.0,0.0
May-15_Hour3,0.0,0.0
May-15_Hour4,0.0,0.0
May-15_Hour5,0.0,0.0
May-15_Hour6,0.0,0.0
